Timestamp; Pedidos ; Extraidos; Quedan
1135;600;600;0
2073;600;600;0
3077;600;600;0
4092;600;600;0
5102;600;600;0
6115;600;600;0
7122;600;600;0
8134;600;600;0
9147;600;600;0
10151;600;600;0
11158;600;600;0
12174;600;600;0
13184;600;600;0
14187;600;449;0
15198;600;600;151
16214;600;600;151
17224;600;598;0
18249;600;600;153
19256;600;600;153
20281;600;600;153
21279;600;600;153
22288;600;600;153
23295;600;600;153
24304;600;600;153
25306;600;600;153
26320;600;600;153
27326;600;600;153
28334;600;600;153
29344;600;600;153
30354;600;600;153
31366;600;600;153
32376;600;600;153
33391;600;600;153
34399;600;600;153
35406;600;600;153
36416;600;600;153
37427;600;600;153
38433;600;600;153
39451;600;600;153
40464;600;600;153
41467;600;600;153
42478;600;600;153
43485;600;600;153
44502;600;600;153
45507;600;600;153
46519;600;600;153
47528;600;600;153
48532;600;600;153
49547;600;600;153
50559;600;600;153
51566;600;600;153
52576;600;600;153
53584;600;600;153
54600;600;600;153
55612;600;600;153
56620;600;600;153
57634;600;600;153
58648;600;600;153
59656;600;600;153
60669;600;600;153
61675;600;600;153
62681;600;600;153
63695;600;600;153
64704;600;600;153
65717;600;600;153
66733;600;600;153
67746;600;600;153
68757;600;600;153
69772;600;600;153
70772;600;600;153
71785;600;600;153
72789;600;600;153
73798;600;600;153
74803;600;600;153
75817;600;600;153
76829;600;600;153
77843;600;600;153
78854;600;600;153
79866;600;600;153
80878;600;600;153
81891;600;600;153
82903;600;600;153
83915;600;600;153
84927;600;600;153
85928;600;600;153
86943;600;600;153
87956;600;600;153
88968;600;600;153
89974;600;600;153
90985;600;600;153
91993;600;600;153
93003;600;600;153
94013;600;600;153
95026;600;600;153
96037;600;600;153
97045;600;600;153
98061;600;600;153
99069;600;600;153
100078;600;600;153
101095;600;600;153
102100;600;600;153
103107;600;600;153
104114;600;600;153
105128;600;600;153
106141;600;600;153
107152;600;600;153
108163;600;600;153
109175;600;600;153
110181;600;600;153
111194;600;600;153
112203;600;600;153
113212;600;600;153
114220;600;600;153
115227;600;600;153
116240;600;600;153
117248;600;600;153
118257;600;600;153
119269;600;600;153
120278;600;600;153
121288;600;600;153
122299;600;600;153
123310;600;600;153
124331;600;600;153
125335;600;600;153
126345;600;600;153
127359;600;600;153
128373;600;600;153
129382;600;600;153
130395;600;600;153
131409;600;600;153
132423;600;600;153
133439;600;600;153
134441;600;600;153
135453;600;600;153
136464;600;600;153
137473;600;600;153
138480;600;600;153
139493;600;600;153
140502;600;600;153
141510;600;600;153
142519;600;600;153
143527;600;600;153
144535;600;600;153
145549;600;600;153
146551;600;600;153
147566;600;600;153
148577;600;600;153
149592;600;600;153
150595;600;600;153
151607;600;600;153
152620;600;600;153
153626;600;600;153
154633;600;600;153
155631;600;600;153
156639;600;600;153
157655;600;600;153
158655;600;600;153
159658;600;600;153
160672;600;600;153
161687;600;600;153
162691;600;600;153
163700;600;600;153
164710;600;600;153
165719;600;600;153
166719;600;600;153
167731;600;600;153
168744;600;600;153
169756;600;324;0
170768;600;0;0
171776;600;0;0
172784;600;0;0
173789;600;0;0
174797;600;0;0
175810;600;0;0
